arch,test_num,cost,stages
Xilinx_Baseline,0,0,0
Xilinx_Baseline,1,2,0
Xilinx_Baseline,2,7,0
Xilinx_Baseline,3,18,1
Xilinx_Baseline,4,40,2
Xilinx_Baseline,5,92,2
Xilinx_Baseline,6,186,3
Xilinx_Baseline,7,370,4
Xilinx_Baseline,8,809,4
Xilinx_Baseline,9,1575,5
Xilinx_Baseline,10,3077,6
Xilinx_Baseline,11,1,0
Xilinx_Baseline,12,5,0
Xilinx_Baseline,13,15,1
Xilinx_Baseline,14,41,1
Xilinx_Baseline,15,77,2
Xilinx_Baseline,16,158,3
Xilinx_Baseline,17,317,4
Xilinx_Baseline,18,697,4
Xilinx_Baseline,19,1351,5
Xilinx_Baseline,20,2643,6
Xilinx_Baseline,21,6382,6
Xilinx_Baseline,22,0,0
Xilinx_Baseline,23,0,0
Xilinx_Baseline,24,3,0
Xilinx_Baseline,25,6,0
Xilinx_Baseline,26,11,0
Xilinx_Baseline,27,16,1
Xilinx_Baseline,28,23,1
Xilinx_Baseline,29,31,1
Xilinx_Baseline,30,39,1
Xilinx_Baseline,31,49,1
Xilinx_Baseline,32,61,1
Xilinx_Baseline,33,75,1
Xilinx_Baseline,34,88,1
Xilinx_Baseline,35,104,1
Xilinx_Baseline,36,119,2
Xilinx_Baseline,37,133,2
Xilinx_Baseline,38,0,0
Xilinx_Baseline,39,4,0
Xilinx_Baseline,40,10,0
Xilinx_Baseline,41,17,1
Xilinx_Baseline,42,26,1
Xilinx_Baseline,43,38,1
Xilinx_Baseline,44,52,1
Xilinx_Baseline,45,69,1
Xilinx_Baseline,46,88,2
Xilinx_Baseline,47,111,2
Xilinx_Baseline,48,131,2
Xilinx_Baseline,49,162,2
Xilinx_Baseline,50,189,2
Xilinx_Baseline,51,220,2
Xilinx_Baseline,52,253,2
Xilinx_Baseline,53,257,3
Xilinx_Baseline,54,499,4
Xilinx_Baseline,55,978,5
Xilinx_Baseline,56,2272,5
Xilinx_Baseline,57,4154,6
X_LUXOR,0,0,0
X_LUXOR,1,2,0
X_LUXOR,2,5,0
X_LUXOR,3,14,1
X_LUXOR,4,32,2
X_LUXOR,5,71,2
X_LUXOR,6,150,3
X_LUXOR,7,309,4
X_LUXOR,8,629,4
X_LUXOR,9,1268,5
X_LUXOR,10,2551,6
X_LUXOR,11,1,0
X_LUXOR,12,4,0
X_LUXOR,13,13,1
X_LUXOR,14,32,1
X_LUXOR,15,69,2
X_LUXOR,16,146,3
X_LUXOR,17,304,4
